Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA
Educador-a social,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Cataluña
"Abogados, en general",Granada - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Infrastructure engineer, skåne",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Peón fabricación material electrónico (con discapacidad),Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Recruiter it 360, hibrido",Madrid - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Madrid
"Consultor-a junior dlp, hibrido",Madrid - España,02/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
"Camareros, en general",Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Administrador-a almacenamiento backup, hibrido",Madrid - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Madrid
"Investment associate director, presencial",Madrid - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Madrid
1 operario-a de lavado de vehículos,Cantabria - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria
Personal de limpieza o limpiadores en general,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Sc cleared data engineer, london",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Electromecànic-a de manteniment industrial (manteniment i reparació general),Barcelona - Cataluña - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Cataluña
"Solutions architect, london",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Conserjes, en general",Avila - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Cocineros, en general",Barcelona - Cataluña - España,02/04/2025,1.645 - 1.645,Otros tipos de formación,1645-1645,1645,1645,20,SI,Cataluña
"Tester pde portals, utrecht",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Technical project manager, london",Sin Especificar,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,NA,NA
"Senior software developer, madrid",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Controlm developer, rzeczpospolita polska",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Front react native con ingles, madrid",Sin Especificar,02/04/2025,Sin especificar,Enseñanzas universitarias de grado,,NA,NA,NA,NA,NA
"Técnico soporte microinformático, presencial",Malaga - Andalucia - España,02/04/2025,16.000 - 16.000,Sin estudios,16000-16000,16000,16000,16,SI,NA
"Administrador de bases de datos, sevilla",Sevilla - Andalucia - España,02/04/2025,Sin especificar,Enseñanzas universitarias de grado,,NA,NA,NA,SI,NA
"Soporte microinformatico, presencial - primer empleo",Asturias - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Asturias
"Técnico-a micro, álava",Alava - Pais Vasco - España,02/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
"Cocineros, en general",Malaga - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
"Programador-a salesforce + jenkins, hibrido",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Beca oficina proyectos cto it, madrid - primer empleo",Madrid - España,02/04/2025,Sin especificar,En prácticas Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Madrid
"Cto start up, 100% en remoto",España,02/04/2025,39.000 - 45.000,Otros tipos de formación,39000-45000,39000,45000,42,SI,NA
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Appian lead, hessen",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Mantenedor-a de edificios imprescindible certificado de discapacidad igual o superior al 33%.,Madrid - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Madrid
"Lead engineer - oracle, hessen",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Oficial-a 1ª de la construcció,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Onsite it coordinator, london",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Monitor-a de natación,Illes Balears - Baleares - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Baleares
"Empleados administrativos, en general",Barcelona - Cataluña - España,02/04/2025,1.785 - 1.785,Grados universitarios de 240 créditos…,1785-1785,1785,1785,21,SI,Cataluña
"Sap fi-co servicio am, barcelona",Barcelona - Cataluña - España,02/04/2025,45.000 - 60.000,Enseñanzas universitarias oficiales de…,45000-60000,45000,60000,52,SI,Cataluña
Aux.enfermeria,Leon - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Agentes comerciales,Huelva - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Agentes comerciales,Huelva - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
"Developer backend, málaga",Malaga - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Educador-a (ref. 2204),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
"Home project manager, madrid",Madrid - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Madrid
"Psicólogos, en general",Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Ux researcher application, utrecht",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Analista programador cobol db2 (cirbe), 100% en remoto",España,02/04/2025,33.000 - 36.000,Otros tipos de formación,33000-36000,33000,36000,34,SI,NA
Ayudante de cocinero para parrilla-asador,Caceres - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
"Sap s4-hana source to pay, madrid",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Producción-chofer c1,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Ayudantes de veterinaria,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Conductores de autobús, en general",Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Administrativo-a,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
1 cocinero-a (ref. 2217),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
1 dependiente-a,Cantabria - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria
Formad@r de formación no reglada (grupo i),Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Albañiles,Sevilla - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Agentes de seguros,Huelva - Andalucia - España,02/04/2025,Sin especificar,Certificado de profesionalidad nivel 3…,,NA,NA,NA,SI,NA
1 camarero-a de habitaciones (ref. 2214),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
1 ayudante de cocina (ref. 2216),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Ayudante de camarero-a (ref.2213),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Electromecánicos de mantenimiento industrial (mantenimiento y reparación general),Almeria - Andalucia - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Administrativo-a - comercial,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
1 camarero-a (ref. 2215),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Soldador-a,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Mecanico-a manquinaria industrial,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Jardineros, en general",Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Técnico-a instalación de alarmas, presencial",Barcelona - Cataluña - España,02/04/2025,Sin especificar,Enseñanzas universitarias de grado,,NA,NA,NA,SI,Cataluña
Agentes comerciales,Huelva - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Auxiliar de geriatria - sociosanitario- auxiliar de enfermeria,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Camarero-a,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Enfermeiros especialistas en enfermería geríatrica,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Director-a programa experiencial del ayuntamiento de orihuela del tremedal.,Teruel - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Fisioterapeutas, en general",Almeria - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Camareros, en general",Malaga - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Albañiles,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Psicólogos, en general",Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
<b>personal de geriatría<-b>,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Albañiles,Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Electromecánicos de mantenimiento industrial (mantenimiento y reparación general),Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Conductores-operadores de grúa en camión,Sevilla - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Técnico superior en animación sociocultural y turística,Caceres - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Work-location,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Técnico-a aplicador control de plagas,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Camareros, en general",Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
"Senior backend developer java, 100% en remoto",España,02/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
"Devops cloud engineer, 100% en remoto",España,02/04/2025,30.000 - 48.000,Enseñanzas universitarias oficiales de…,30000-48000,30000,48000,39,SI,NA
"Desarrollador-a java springboot, 100% en remoto",España,02/04/2025,36.000 - 42.000,Otros tipos de formación,36000-42000,36000,42000,39,SI,NA
"Senior devops engineer, barcelona",Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Technical lead azure, 100% en remoto",España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Consultor-a funcional business central, presencial",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Doctorado universitario.,,NA,NA,NA,SI,Galicia
"Técnico-a de servidores linux-openshift, hibrido",Madrid - España,02/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,Madrid
"Machine learning engineer, barcelona",Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Ingeniero-a de software, hibrido",Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Docente certificado de profesionalidad redes, toledo",Toledo - Castilla la Mancha - España,02/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Castilla la Mancha
"Principal software developer, madrid",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Software development books search, madrid",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Desarrollador-a power apps, 100% en remoto",España,02/04/2025,30.000 - 33.000,Otros tipos de formación,30000-33000,30000,33000,32,SI,NA
"Sc cleared devops engineer, london",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Docente online inteligencia artificial, 100% en remoto",España,02/04/2025,24 - 24,Sin estudios,24-24,24,24,24,SI,NA
"Técnico-a de comunicación, hibrido",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Senior data analyst, madrid",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Consultor-a sap hcm, presencial - primer empleo",Madrid - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Madrid
"Técnico de sistemas senior, zaragoza",Zaragoza - Aragon - España,02/04/2025,24.000 - 36.000,Sin estudios,24000-36000,24000,36000,30,SI,NA
Administrativo-a,Murcia - España,02/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Murcia
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Granada - Andalucia - España,02/04/2025,Sin especificar,Certificado de profesionalidad nivel 3…,,NA,NA,NA,SI,NA
Camarero-a para hogar social acor de olmedo (valladolid),Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Gerocultor-a (ref.:1427),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Médicos especialistas en medicina interna,Granada - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Auxiliar administrativo-a (ref. 2242),Asturias - España,02/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Asturias
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Mozo-a de almacén (ref. 2245),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
