Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA,Fecha_parsed,Mes,Nivel
"Cocineros, en general",A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Profesor-a de inglés (ref.: 2274),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Técnico-a de especialidad en área jurídica (jurídico-laboral),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Profesionales de la educación ambiental,Huelva - Andalucia - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
1 ayudante de camarero-a,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria,2025-04-03,abril,Otros
Conservadores de museo y galerías de arte,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Peón albañil,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Calderero-a (ref.: 2270),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Albañiles,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Lacador-a de madera,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
Electricistas. oficiales de primera,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
"Empleados administrativos de contabilidad, en general",A Coruña - Galicia - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Universidad
Expendedores de combustible,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
Personal de limpieza o limpiadores en general,Burgos - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Oferta limpiador-mantenedor-a de piscinas para torrejón de ardoz,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
Albañiles,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Profesor de apoyo socioeducativo,Palencia - Castilla Leon - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Universidad
Primeros oficiales de puente de buques mercantes,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Doctorado
Aux. administrativo-a de transporte,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Aragon,2025-04-03,abril,FP/Bachiller
Técnico-a instaladador-a y de mantenimiento de sistemas de seguridad.,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
Planchistas (cafetería o restauración),A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Operadores de equipos en estación de emisora de radio y-o televisión,Malaga - Andalucia - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Universidad
1 ayudante de camarero-a,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria,2025-04-03,abril,Otros
Instaladores electricistas industriales,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Profesor-a de autoescuela,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
Ayudante de dependiente (2363),Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
Pinches de cocina,Ourense - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Jefes de cocina (hostelería),Huelva - Andalucia - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
Soldador-a (ref.: 2269),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Adjunto-a a dirección contable y financiera,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
Personal de limpieza o limpiadores en general,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Albañiles,Malaga - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Ayudante de cocina,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
Escayolista. escayola arabe.,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
Formadores de formación no reglada,A Coruña - Galicia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Galicia,2025-04-03,abril,FP/Bachiller
Perito-a electricista (ref.:2273),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
"Cocineros, en general",Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Segovia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
"Responsable de departamento técnico, para empresa de inslación de sistemas de seguridad.",Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
Auxiliares de enfermería,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Montadores de toldos,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Limpiador-a,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
Monitores de tiempo libre -fuentes de ebro- (empleo público),Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
"Conductores de furgoneta, hasta 3,5 t.",Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
Técnico-a contable (titulación universitaria),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Otros
Encofradores,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Work-location,Tarragona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Limpiador-a (ref.:2266),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Empleoado-a de hoigar interno-a,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
"Conductores de camión, en general",Valladolid - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Operario laboratorio fundic. en agurain. contrato 6 meses,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Peluqueros de señoras,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Pulidor-pulidora,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
1 ayudante de cocina,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria,2025-04-03,abril,Otros
Monitor-a centro interpretación aneto (sector público),Huesca - Aragon - España,03/04/2025,Sin especificar,Certificado de profesionalidad nivel 3…,,NA,NA,NA,SI,Aragon,2025-04-03,abril,NA
Profesores técnicos de formación profesional (electricidad y electrónica),Burgos - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Gerocultores,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Albañiles,Malaga - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
"Cocineros, en general",Huelva - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
1 fisioterapeuta,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria,2025-04-03,abril,Otros
Mecánico automoción,Albacete - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-03,abril,Otros
Profesor-a,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Universidad
Maquinista de c.n.c (ref. 2271),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Operario de mantenimiento,Palencia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Técnico gestión económica presupuestaria en vitoria (ura). contr. pl3 sustit 2 meses,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
"Docente curso de formación: ""mantenimiento y rehabilitación de edificios""",Ciudad Real - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-03,abril,Otros
Utileria para espectáculos en vivo - inaem,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
"Consultor-a en economía, competitividad e innovación",Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Universidad
Albañiles,Malaga - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Asistentes domiciliarios,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Enfermero-a,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Sin estudios
2 puestos de cocinero-a,Caceres - Extremadura - España,03/04/2025,Sin especificar,Enseñanzas universitarias de 1 er y 2º…,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Universidad
Empleado-a de departamento de diseño y comunicación,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
"Administrador-a de redes (nivel 1 y 2), hibrido",Madrid - España,03/04/2025,24.000 - 30.000,Enseñanzas universitarias de grado,24000-30000,24000,30000,27,SI,Madrid,2025-04-03,abril,Universidad
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Sin estudios
Profesional de carnicería,Navarra - España,03/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Básico
Profesional de pescadería,Navarra - España,03/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Básico
Cuidador-a de mujeres con discapacidad intelectual (turno de mañanas),Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Universidad
Administrativo-a comercial con conocimientos altos en inglés.,Murcia - España,03/04/2025,Sin especificar,Certificado de profesionalidad nivel 3…,,NA,NA,NA,SI,Murcia,2025-04-03,abril,NA
6 operarios-as para la industria láctea ( ref. 2287),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Ayudante de camarero-a (ref. 2283),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Técnicos en estudios de mercado y opinión pública(marketing),Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
1 pedicuro-a manicuro-a,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria,2025-04-03,abril,Otros
Inspector médico en irun. 1 puesto vacante superacion prueba. pl3,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Doctorado
Mantenedores de edificios,Cadiz - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Cocineros y-o pinches de cocina,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Work-location,Lleida - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
"Fisioterapeutas, en general",Malaga - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
"Cocineros, en general",Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
Directores técnicos de centro educativo,Granada - Andalucia - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Universidad
Work-location,Tarragona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
"Cocineros, en general",Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
Inspector-a médico-a. en vitoria. vacante. 4 puestos pl3 y superación prueba,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Work-location,Tarragona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Tarragona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Maestro-a educación infantil (num 04 2025 001881),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Otros
Conductor-operador de retroexcavadora,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Asistentes domiciliarios,Cordoba - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Agente comercial,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
Un ayudante de cocina para hotel meleiros,Zamora - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Ayudante-a de cocina (ref. 2286),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Operario de cargas,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Montadores de vídeo,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
"Mecánicos de mantenimiento y reparación de automoción, en general",Sta.cruz de Tenerife - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
"Técnicos administrativos, en general",Granada - Andalucia - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
"Formador-a de formación no reglada para impartir curso ""competencias digitales básicas""",Ciudad Real - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-03,abril,Otros
Work-location,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Otros
Gestores culturales,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Ayudante de camarero-a (ref. 2285),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Ferrallistas,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
